time;x1;x2
0.000000000000000000e+00;-2.509197623052750181e+00;9.014286128198321535e+00
2.002002002002001985e-02;-2.506385791544857078e+00;9.010170716627465382e+00
4.004004004004003969e-02;-2.497954197829749923e+00;8.997828905087850160e+00
6.006006006006005954e-02;-2.483914542785405466e+00;8.977273961484353748e+00
8.008008008008007939e-02;-2.464289855899838511e+00;8.948531675052166179e+00
1.001001001001000923e-01;-2.439112257022294283e+00;8.911638025261330753e+00
1.201201201201201191e-01;-2.408414410417634155e+00;8.866630276523315146e+00
1.401401401401401459e-01;-2.372236498552023232e+00;8.813554243546711575e+00
1.601601601601601588e-01;-2.330626348911916335e+00;8.752464423468417465e+00
1.801801801801801717e-01;-2.283639434004059776e+00;8.683423995853646105e+00
2.002002002002001846e-01;-2.231338871355489584e+00;8.606504822695923096e+00
2.202202202202202252e-01;-2.173795423513533720e+00;8.521787448417084576e+00
2.402402402402402382e-01;-2.111087498045810751e+00;8.429361099867280771e+00
2.602602602602602788e-01;-2.043301147540229401e+00;8.329323686324972442e+00
2.802802802802802917e-01;-1.970530069604989443e+00;8.221781799496934440e+00
3.003003003003003046e-01;-1.892875606868581695e+00;8.106850713518250373e+00
3.203203203203203175e-01;-1.810446746979787580e+00;7.984654384952323269e+00
3.403403403403403304e-01;-1.723360122607679124e+00;7.855325452790859586e+00
3.603603603603603434e-01;-1.631740011441619398e+00;7.719005238453884310e+00
3.803803803803803563e-01;-1.535718336191262079e+00;7.575843745789732075e+00
4.004004004004003692e-01;-1.435434664586551889e+00;7.425999661075049829e+00
4.204204204204204376e-01;-1.331036209377723933e+00;7.269640353014797718e+00
4.404404404404404505e-01;-1.222675534973200140e+00;7.106939472219719889e+00
4.604604604604604634e-01;-1.110489725582004761e+00;6.938055176840848048e+00
4.804804804804804763e-01;-9.946364328809464972e-01;6.763167893662833663e+00
5.005005005005005447e-01;-8.752828442551046084e-01;6.582468715433946294e+00
5.205205205205205576e-01;-7.525993958328044409e-01;6.396152813658932068e+00
5.405405405405405705e-01;-6.267597724856150965e-01;6.204419438599011905e+00
5.605605605605605835e-01;-4.979409078283513201e-01;6.007471919271882399e+00
5.805805805805805964e-01;-3.663229842190729446e-01;5.805517663451716714e+00
6.006006006006006093e-01;-2.320894327590843353e-01;5.598768157669162804e+00
6.206206206206206222e-01;-9.542693329293583382e-02;5.387438967211345187e+00
6.406406406406406351e-01;4.347458559157901803e-02;5.171749736121863172e+00
6.606606606606606480e-01;1.844219465634193700e-01;4.951924187200794414e+00
6.806806806806806609e-01;3.272187235483008383e-01;4.728190122004688689e+00
7.007007007007006738e-01;4.716652417286937293e-01;4.500779420846575007e+00
7.207207207207206867e-01;6.175585775438232616e-01;4.269928042795955392e+00
7.407407407407406996e-01;7.646925586896702320e-01;4.035876025678806656e+00
7.607607607607607125e-01;9.128577641189679071e-01;3.798867486077587952e+00
7.807807807807807254e-01;1.061841524041208906e+00;3.559150619331226117e+00
8.008008008008007383e-01;1.211427919922636320e+00;3.316977699535129886e+00
8.208208208208208623e-01;1.361397784486252593e+00;3.072605079541179229e+00
8.408408408408408752e-01;1.511528701711810196e+00;2.826293190957732016e+00
8.608608608608608881e-01;1.661595006835820953e+00;2.578306544149626234e+00
8.808808808808809010e-01;1.811367786351549380e+00;2.328913728238163117e+00
9.009009009009009139e-01;1.960614878009014461e+00;2.078387411101134674e+00
9.209209209209209268e-01;2.109100870814993200e+00;1.827004339372800601e+00
9.409409409409409397e-01;2.256587105033015295e+00;1.575045338443895382e+00
9.609609609609609526e-01;2.402831672183364464e+00;1.322795312461630957e+00
9.809809809809809655e-01;2.547654522217356554e+00;1.070475022015117350e+00
1.001001001001001089e+00;2.690926859944552163e+00;8.182522814788532051e-01
1.021021021021021102e+00;2.832413224165392762e+00;5.664073504439046669e-01
1.041041041041041115e+00;2.971881189291654124e+00;3.152178879168275882e-01
1.061061061061061128e+00;3.109103522639513173e+00;6.495669101319423433e-02
1.081081081081081141e+00;3.243858184429549762e+00;-1.841083050424088263e-01
1.101101101101101154e+00;3.375928327786743566e+00;-4.317140269163810551e-01
1.121121121121121167e+00;3.505102298740478517e+00;-6.776022631661056117e-01
1.141141141141141180e+00;3.631173636224537482e+00;-9.215196642399527960e-01
1.161161161161161193e+00;3.753941072077108032e+00;-1.163217742477277827e+00
1.181181181181181206e+00;3.873208531040776670e+00;-1.402452872108420845e+00
1.201201201201201219e+00;3.988785130762534159e+00;-1.638986289254709128e+00
1.221221221221221231e+00;4.100485181793771083e+00;-1.872584091928451766e+00
1.241241241241241244e+00;4.208128187590280511e+00;-2.103017240032946766e+00
1.261261261261261257e+00;4.311538844512258883e+00;-2.330061555362476611e+00
1.281281281281281270e+00;4.410547041824301573e+00;-2.553497721602307813e+00
1.301301301301301283e+00;4.504987861695406437e+00;-2.773111284328694914e+00
1.321321321321321296e+00;4.594701579198975594e+00;-2.988692651008873824e+00
1.341341341341341309e+00;4.679533662312810094e+00;-3.200037091001069811e+00
1.361361361361361322e+00;4.759334771919112583e+00;-3.406944735554494841e+00
1.381381381381381335e+00;4.833960761804490858e+00;-3.609220577809338693e+00
1.401401401401401348e+00;4.903272678659951644e+00;-3.806674472796786723e+00
1.421421421421421361e+00;4.967136762080902379e+00;-3.999121137438997664e+00
1.441441441441441373e+00;5.025424444567155646e+00;-4.186380150549126711e+00
1.461461461461461386e+00;5.078012351522924739e+00;-4.368275952831312203e+00
1.481481481481481399e+00;5.124782301256821881e+00;-4.544637846880671184e+00
1.501501501501501412e+00;5.165621304981863560e+00;-4.715299997183312719e+00
1.521521521521521425e+00;5.200421918745826488e+00;-4.880101814599575150e+00
1.541541541541541438e+00;5.229146517919159187e+00;-5.038958290983323707e+00
1.561561561561561451e+00;5.251738321403081500e+00;-5.191763147743682971e+00
1.581581581581581464e+00;5.268097646441492365e+00;-5.338362701778515351e+00
1.601601601601601477e+00;5.278134429080199475e+00;-5.478613174374459049e+00
1.621621621621621712e+00;5.281768224166918380e+00;-5.612380691206932504e+00
1.641641641641641725e+00;5.278928205351271608e+00;-5.739541282340120176e+00
1.661661661661661737e+00;5.269553165084792212e+00;-5.859980882226992094e+00
1.681681681681681750e+00;5.253591514620920222e+00;-5.973595329709288748e+00
1.701701701701701763e+00;5.231001284015004416e+00;-6.080290368017527314e+00
1.721721721721721776e+00;5.201750122124299658e+00;-6.179981644771001648e+00
1.741741741741741789e+00;5.165815296607973117e+00;-6.272594711977779625e+00
1.761761761761761802e+00;5.123183693927097160e+00;-6.358065026034704914e+00
1.781781781781781815e+00;5.073851819344652014e+00;-6.436337947727398756e+00
1.801801801801801828e+00;5.017825796925528437e+00;-6.507368742230255521e+00
1.821821821821821841e+00;4.955121369536523268e+00;-6.571122579106448036e+00
1.841841841841841854e+00;4.885763898846343878e+00;-6.627574532307922262e+00
1.861861861861861867e+00;4.809788365325603721e+00;-6.676709580175399950e+00
1.881881881881881879e+00;4.727239368246825002e+00;-6.718522605438381312e+00
1.901901901901901892e+00;4.638171125684438678e+00;-6.753018395215137915e+00
1.921921921921921905e+00;4.542647474514782679e+00;-6.780211641012721557e+00
1.941941941941941918e+00;4.440741870416106352e+00;-6.800126938726956283e+00
1.961961961961961931e+00;4.332537387868564238e+00;-6.812798788642442815e+00
1.981981981981981944e+00;4.218126720154219633e+00;-6.818271595432558563e+00
2.002002002002002179e+00;4.097612179357042805e+00;-6.816599668159454062e+00
2.022022022022022192e+00;3.971105696362917215e+00;-6.807847220274059197e+00
2.042042042042042205e+00;3.838728820859628854e+00;-6.792088369616076093e+00
